filename_only	use_xml	title	title_locations	methods_sections	content_locations	content_locations_filtered	location_sentences
ABDIKAN, SEKERTEKIN et al. - BACKSCATTER ANALYSIS USING MULTITEMPORAL SENTINEL1	True	BACKSCATTER ANALYSIS USING MULTI-TEMPORAL SENTINEL-1 SAR DATA FOR CROP GROWTH OF MAIZE IN KONYA BASIN, TURKEY	KONYA BASIN, TURKEY	['2. MATERIALS AND METHODOLOGY', '2.1 Study Area: Konya']	Konya; central Anatolia Turkey,	Konya; central Anatolia Turkey,	['        The test area is located at Konya basin, central Anatolia Turkey, which is approximately 40 km2.']
ABUBAKAR, WANG et al. - MAPPING MAIZE FIELDS BY USING	True	Mapping Maize Fields by Using Multi-Temporal Sentinel-1A and Sentinel-2A Images in Makarfi, Northern Nigeria, Africa	Makarfi, Northern Nigeria, Africa	['2. Materials and Methods', '2.1. Study Area']	Makarfi Local Government Area (central; Kaduna State, Nigeria (; Kaduna State; Northern Guinea; SAR	Kaduna State, Nigeria (; Kaduna State; Northern Guinea	['          Makarfi Local Government Area (central latitude 11 22’N and longitude 7 52’E) located in Kaduna State, Nigeria (Figure 1).', 'Makarfi is one of the major maize growing areas of Kaduna State and has higher average productivity compared to other local government areas [                       ].', 'The study area within the Northern Guinea savannah agro-ecological zone [                       ], is characterized by undulating plain with Cambisols and Acrisols dominated soil types.']
AINSWORTH, WILLIAMS - A SIMULATION STUDY OF TOPOGRAPHIC	False	A SIMULATION STUDY OF TOPOGRAPHIC EFFECTS ON POLSAR CLASSIFICATION OF FORESTS AND CROPS		[]			
ALVISI, VOLTA et al. - PREDICTORS OF WEANING OUTCOME	False	Predictors of weaning outcome in chronic obstructive pulmonary disease patients		['Materials and methods']	S. Anna Hospital); American Thoracic Society; MORRIS et; ARF; ARF	S. Anna Hospital)	['The initial weaning trial included 81 COPD patients admitted to the authors’ intensive care unit (ICU; S. Anna Hospital) for management of acute respiratory failure (ARF).']
AMELARD, WONG et al. - UNSUPERVISED CLASSIFICATION OF AGRICULTURAL LAND	True	UNSUPERVISED CLASSIFICATION OF AGRICULTURAL LAND COVER USING POLARIMETRIC SYNTHETIC APERTURE RADAR VIA A SPARSE TEXTURE DICTIONARY MODEL Robert Amelard, Alexander Wong, David A. Clausi		['2. METHODOLOGY']	Pauli		
ARIAS, CAMPO-BESCOS et al. - CROP CLASSIFICATION BASED ON TEMPORAL	True	Crop Classification Based on Temporal Signatures of Sentinel-1 Observations over Navarre Province, Spain	Navarre Province, Spain	['2. Materials and Methods', '2.1. Study Area', '4.4. Regional Stratification', '4.5. Methodological Aspects']	Navarre (Northern Spain); Navarre; Navarre; Southern Navarre,; RMSE	Navarre (Northern Spain); Navarre; Navarre; Southern Navarre,	['          The study area covers the agricultural areas of the province of Navarre (Northern Spain).', 'Due to this diversity, Navarre is stratified in seven agricultural regions with distinct agro-climatic conditions [                       ] (Table 1).', 'Other summer crops cultivated in Navarre are sunflower, found in every region, and rice, only grown in southern regions.', 'It is important to mention that the proportion of fallow fields varies strongly depending on the region, being particularly high in Southern Navarre, especially in region 7.']
ASHMITHA, N, M, MOHAMMED, A, J et al. - ESTIMATION OF COTTON AND MAIZE	True	ESTIMATION OF COTTON AND MAIZE CROP AREA IN PERAMBALUR DISTRICT OF TAMIL NADU USING MULTI-DATE SENTINEL-1A SAR DATA	PERAMBALUR	['2. MATERIALS AND METHODS', '2.1 Study area', 'Methodology']	Perambalur; Tamil Nadu; North East; South West; Cotton,; Tapioca, Paddy,; SAR; SAR	Perambalur; Tamil Nadu; North East; South West; Tapioca, Paddy,	['Perambalur district is a centrally located inland district of Tamil Nadu with a spread over of 1750 sq.kms.', 'The area receives a mean annual rainfall of 908 mm out of which 475 mm is contributed by North East monsoon and 314 mm by South West monsoon.', 'Maize, Cotton, Sorghum, Onion, Tapioca, Paddy, Groundnut and Sesamum are the major cultivated crops.']
ASMAE, OMAR et al. - CROP TYPE MAPPING USING OPTICAL	False	Crop type mapping using optical and radar images: a review		[]			
AUBERT, BAGHDADI et al. - TOWARD AN OPERATIONAL BARE SOIL	False	Toward an Operational Bare Soil Moisture Mapping Using TerraSAR-X Data Acquired Over Agricultural Areas		['Study site ', 'Study site ']	Orgeval; Orgeval; Yzeron; Garon		
BAZZI, BAGHDADI et al. - AN OPERATIONAL FRAMEWORK FOR MAPPING	True	An Operational Framework for Mapping Irrigated Areas at Plot Scale Using Sentinel-1 and Sentinel-2 Data		['2. Materials', '2.1. Study Site', '3. Methods', '4.5. Method Generalization']	Orléans city of; France (; Orléans city,	Orléans city of; France (; Orléans city,	['The study site examined is located near Orléans city of north-central France (Figure 1).', 'The cumulative precipitation was recorded from a local metrological station located in Orléans city, during the period between May and October for the years 2017, 2018, 2019, and 2020 reached 321 mm, 210 mm, 150 mm, and 180 mm, respectively.']
BERIAUX, JAGO et al. - SENTINEL1 TIME SERIES FOR CROP	True	Article Sentinel-1 Time Series for Crop Identification in the Framework of the Future CAP Monitoring		['2. Materials and Methods', '2.1. Study Area', '2.3. Methodology']	Walloon region of; Belgium; Belgium (in; SAR	Walloon region of; Belgium; Belgium (in; SAR	['The study is carried out in the context of the preparation by the Walloon region of their implementation of the Area Monitoring System.', 'The cloud frequency in Belgium is quite significant, and the availability of cloud free image time series over the growing season can be a challenge.', 'The Walloon Region (WR) is located in the south part of Belgium (in grey on Figure 1) and covers 16,901 square kilometers.', 'This research describes the effect on the classification performance of 5 parameters: the set of explanatory variables, the SAR orbit (related to local incidence angle and acquisition time), the period of the year covered by the time series, the use of different internal buffers on parcel polygons before SAR signal extraction, and the training set characteristics (size of the set and specific parcels kept in the set).']
BETBEDER, LASLIER et al. - MULTITEMPORAL OPTICAL AND RADAR DATA	True		no-title	['2. STUDY AREA']	Mont-SaintMichel, France (	Mont-SaintMichel, France (	['The investigated area is a Long Ecological Research site named ‘Zone Atelier Armorique’ (130 km²), localized on the southern part of the Bay of the Mont-SaintMichel, France (http://osur.univ-rennes1.fr/za-armorique/) (Figure 1) and referenced in the']
BINDLISH, JACKSON et al. - HIGH RESOLUTION SOIL MOISTURE MAPPING	False	High Resolution Soil Moisture Mapping Using AIRSAR Observations During SMEX02		[]			
BOUSBIH, ZRIBI et al. - SOIL MOISTURE AND IRRIGATION MAPPING	False	Soil Moisture and Irrigation Mapping in A Semi-Arid Region, Based on the Synergetic Use of Sentinel-1 and Sentinel-2 Data		['2. Study Site and Database', '2.1. Study Site', '3. Methodology']	Tunisia; Tunisia; WCM,	Tunisia; Tunisia	['The Kairouan plain (Central Tunisia: 9◦53(cid:48)57”E; 35◦34(cid:48)51”N; Figure 1a) is a semi-arid, typically agricultural region.', 'Study Site The Kairouan plain (Central Tunisia: 9°53′57″E; 35°34′51″N; Figure 1a) is a semi-arid, typically agricultural region.']
BOUVET, LE, T, T et al. - MONITORING OF THE RICE CROPPING	False	Monitoring of the Rice Cropping System in the Mekong Delta Using ENVISAT/ASAR Dual Polarization Data	Mekong	[]			
BRINKHOFF, VARDANEGA et al. - LAND COVER CLASSIFICATION OF NINE	True	Land Cover Classification of Nine Perennial Crops Using Sentinel-1 and -2 Data		['2. Methods', '2.1. Study Area']	Leeton; Griffith; Riverina, NSW, Australia; Murrumbidgee River	Leeton; Riverina, NSW, Australia; Murrumbidgee River	['This study focused on the area surrounding the Leeton and Griffith townships within the Riverina, NSW, Australia.', 'Irrigated agriculture is a major industry in these areas, with irrigation water supplied from the Murrumbidgee River.']
BUCKLEY, SMITH - MONITORING GRASSLANDS WITH RADARSAT 2	False	Joseph R. Buckley		[]			
BUSQUIER, LOPEZ-SANCHEZ et al. - ADDED VALUE OF COHERENT COPOLAR	False	Added Value of Coherent Copolar Polarimetry at X-Band for Crop-Type Mapping		[]			
BUSQUIER, VALCARCE-DINEIRO et al. - FUSION OF MULTITEMPORAL PAZ	False	Fusion of Multi-Temporal PAZ and Sentinel-1 Data for Crop Classification		['2. Materials and Methods']	Iberian Peninsula (Spain), in the Castilla y León region,; Salamanca (; Meteorological Agency,; Spain, the	Iberian Peninsula (Spain), in the Castilla y León region,; Salamanca (; Spain, the	['The study area is located in the Iberian Peninsula (Spain), in the Castilla y León region, 20 km away from the city of Salamanca (Figure 1).', 'Due to the pandemic lockdown during the spring of 2020 in Spain, the ﬁeld campaign was only possible at the end of June.']
CABALLERO, PLATZECK et al. - ASSESSMENT OF MULTIDATE SENTINEL1 POLARIZATIONS	True	Assessment of Multi-Date Sentinel-1 Polarizations and GLCM Texture Features Capacity for Onion and Sunflower Classification in an Irrigated Valley: An Object Level Approach	Irrigated Valley	['2. Materials and Methods']	SAR		
CAO, YU et al. - A 30 M TERRACE MAPPING	True	A 30 m terrace mapping in China using Landsat 8 imagery and digital elevation model based on the Google Earth Engine	China	['Methods']			
CAPODICI, D'URSO et al. - INVESTIGATING THE RELATIONSHIP BETWEEN XBAND	True	Investigating the Relationship between X-Band SAR Data from COSMO-SkyMed Satellite and NDVI for LAI Detection		['2.3. Methods']	CSK		
