filename	content_locations	use_xml	location_sentences	clean_content_loc	geocode_lat	geocode_lon	geocode_str	geocode_type
ABDIKAN, SEKERTEKIN et al. - BACKSCATTER ANALYSIS USING MULTITEMPORAL SENTINEL1	Konya	True	        The test area is located at Konya basin, central Anatolia Turkey, which is approximately 40 km2.	Konya	37.8746429	32.4931554	Konya, Turkey	APPROXIMATE
ABDIKAN, SEKERTEKIN et al. - BACKSCATTER ANALYSIS USING MULTITEMPORAL SENTINEL1	central Anatolia Turkey,	True	        The test area is located at Konya basin, central Anatolia Turkey, which is approximately 40 km2.	central Anatolia Turkey	38.963745	35.243322	Turkey	APPROXIMATE
ABUBAKAR, WANG et al. - MAPPING MAIZE FIELDS BY USING	Kaduna State, Nigeria (	True	          Makarfi Local Government Area (central latitude 11 22’N and longitude 7 52’E) located in Kaduna State, Nigeria (Figure 1).	Kaduna State, Nigeria	10.3764006	7.7094537	Kaduna, Nigeria	APPROXIMATE
ABUBAKAR, WANG et al. - MAPPING MAIZE FIELDS BY USING	Northern Guinea	True	The study area within the Northern Guinea savannah agro-ecological zone [                       ], is characterized by undulating plain with Cambisols and Acrisols dominated soil types.	Northern Guinea	6.9958866	3.9902345	120106, Northern Guinea, Nigeria	APPROXIMATE
ARIAS, CAMPO-BESCOS et al. - CROP CLASSIFICATION BASED ON TEMPORAL	Navarre (Northern Spain)	True	          The study area covers the agricultural areas of the province of Navarre (Northern Spain).	Navarre (Northern Spain	42.6953909	-1.6760691	Navarre, Spain	APPROXIMATE
ARIAS, CAMPO-BESCOS et al. - CROP CLASSIFICATION BASED ON TEMPORAL	Navarre	True	          The study area covers the agricultural areas of the province of Navarre (Northern Spain).	Navarre	30.4109342	-86.91232169999999	Navarre, FL 32566, USA	APPROXIMATE
ASHMITHA, N, M, MOHAMMED, A, J et al. - ESTIMATION OF COTTON AND MAIZE	Perambalur	True	Perambalur district is a centrally located inland district of Tamil Nadu with a spread over of 1750 sq.kms.	Perambalur	11.2265767	78.9288242	Perambalur, Tamil Nadu, India	APPROXIMATE
ASHMITHA, N, M, MOHAMMED, A, J et al. - ESTIMATION OF COTTON AND MAIZE	Tamil Nadu	True	Perambalur district is a centrally located inland district of Tamil Nadu with a spread over of 1750 sq.kms.	Tamil Nadu	11.1271225	78.6568942	Tamil Nadu, India	APPROXIMATE
ASHMITHA, N, M, MOHAMMED, A, J et al. - ESTIMATION OF COTTON AND MAIZE	North East	True	The area receives a mean annual rainfall of 908 mm out of which 475 mm is contributed by North East monsoon and 314 mm by South West monsoon.	North East	54.9456129	-1.9479664	North East, UK	APPROXIMATE
BAZZI, BAGHDADI et al. - AN OPERATIONAL FRAMEWORK FOR MAPPING	Orléans city of	True	The study site examined is located near Orléans city of north-central France (Figure 1).	Orléans city	47.902964	1.909251	Orléans, France	APPROXIMATE
BAZZI, BAGHDADI et al. - AN OPERATIONAL FRAMEWORK FOR MAPPING	France (	True	The study site examined is located near Orléans city of north-central France (Figure 1).	France	46.227638	2.213749	France	APPROXIMATE
BERIAUX, JAGO et al. - SENTINEL1 TIME SERIES FOR CROP	Walloon region of	True	The study is carried out in the context of the preparation by the Walloon region of their implementation of the Area Monitoring System.	Walloon region	50.400501	5.1335125	Wallonia, Belgium	APPROXIMATE
BERIAUX, JAGO et al. - SENTINEL1 TIME SERIES FOR CROP	Belgium	True	The cloud frequency in Belgium is quite significant, and the availability of cloud free image time series over the growing season can be a challenge.	Belgium	50.503887	4.469936	Belgium	APPROXIMATE
BETBEDER, LASLIER et al. - MULTITEMPORAL OPTICAL AND RADAR DATA	Mont-SaintMichel, France (	True	The investigated area is a Long Ecological Research site named ‘Zone Atelier Armorique’ (130 km²), localized on the southern part of the Bay of the Mont-SaintMichel, France (http://osur.univ-rennes1.fr/za-armorique/) (Figure 1) and referenced in the	Mont-SaintMichel, France	48.636063	-1.511457	50170 Mont Saint-Michel, France	APPROXIMATE
BOUSBIH, ZRIBI et al. - SOIL MOISTURE AND IRRIGATION MAPPING	Tunisia	False	The Kairouan plain (Central Tunisia: 9◦53(cid:48)57”E; 35◦34(cid:48)51”N; Figure 1a) is a semi-arid, typically agricultural region.	Tunisia	33.886917	9.537499	Tunisia	APPROXIMATE
BRINKHOFF, VARDANEGA et al. - LAND COVER CLASSIFICATION OF NINE	Leeton	True	This study focused on the area surrounding the Leeton and Griffith townships within the Riverina, NSW, Australia.	Leeton	38.5830717	-93.69465799999999	Leeton, MO 64761, USA	APPROXIMATE
BRINKHOFF, VARDANEGA et al. - LAND COVER CLASSIFICATION OF NINE	Riverina, NSW, Australia	True	This study focused on the area surrounding the Leeton and Griffith townships within the Riverina, NSW, Australia.	Riverina, NSW, Australia	-31.2532183	146.921099	New South Wales, Australia	APPROXIMATE
BRINKHOFF, VARDANEGA et al. - LAND COVER CLASSIFICATION OF NINE	Murrumbidgee River	True	Irrigated agriculture is a major industry in these areas, with irrigation water supplied from the Murrumbidgee River.	Murrumbidgee River	-35.2528729004432	146.2016652340651	Murrumbidgee River, Australia	APPROXIMATE
BUSQUIER, VALCARCE-DINEIRO et al. - FUSION OF MULTITEMPORAL PAZ	Iberian Peninsula (Spain), in the Castilla y León region,	False	The study area is located in the Iberian Peninsula (Spain), in the Castilla y León region, 20 km away from the city of Salamanca (Figure 1).	Iberian Peninsula (Spain), in the Castilla y León region	41.83568210000001	-4.397635699999999	Castile and León, Spain	APPROXIMATE
BUSQUIER, VALCARCE-DINEIRO et al. - FUSION OF MULTITEMPORAL PAZ	Salamanca (	False	The study area is located in the Iberian Peninsula (Spain), in the Castilla y León region, 20 km away from the city of Salamanca (Figure 1).	Salamanca	40.9701039	-5.663539699999999	Salamanca, Spain	APPROXIMATE
BUSQUIER, VALCARCE-DINEIRO et al. - FUSION OF MULTITEMPORAL PAZ	Spain, the	False	Due to the pandemic lockdown during the spring of 2020 in Spain, the ﬁeld campaign was only possible at the end of June.	Spain	40.46366700000001	-3.74922	Spain	APPROXIMATE
CHAKHAR, HERNANDEZ-LOPEZ et al. - IMPROVING THE ACCURACY OF MULTIPLE	Castilla-La Mancha, southeast Spain (	True	        The study area covers the agricultural fields in the province of Castilla-La Mancha, southeast Spain (Figure 1).	Castilla-La Mancha, southeast Spain	39.2795607	-3.097702	Castile-La Mancha, Spain	APPROXIMATE
CHAUHAN, DARVISHZADEH et al. - DISCRIMINANT ANALYSIS FOR LODGING SEVERITY	Ferrara, Northern Italy	True	1) located in Jolanda di Savoia (centre coordinates 44°52′59″N, 11°58′48″E) a commune in the province of Ferrara, Northern Italy.	Ferrara, Northern Italy	44.8381237	11.619787	Ferrara, Province of Ferrara, Italy	APPROXIMATE
CHAUHAN, DARVISHZADEH et al. - DISCRIMINANT ANALYSIS FOR LODGING SEVERITY	LA (	True	          We calculated a normalised lodging score index (LS, [0–1]) per plot based on CAI (θ, [0-90°]) and LA (%, [0–100%]) (see Eq.	LA	34.0522265	-118.2436596	Los Angeles County, CA, USA	APPROXIMATE
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Masvingo province,	True	          The area under study is in Masvingo province, which is situated in the south-east of Zimbabwe.	Masvingo province	-20.6241509	31.2626366	Masvingo Province, Zimbabwe	APPROXIMATE
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Zimbabwe	True	          The area under study is in Masvingo province, which is situated in the south-east of Zimbabwe.	Zimbabwe	-19.015438	29.154857	Zimbabwe	APPROXIMATE
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Mozambique in the eastern	True	The province shares boundary with Mozambique in the eastern part and Matabeleland South province is to the southern part, Midlands province is to the north and west part, whereas, Manicaland province to the north-east part [                       ].	Mozambique in the eastern	-18.665695	35.529562	Mozambique	APPROXIMATE
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Matabeleland South	True	The province shares boundary with Mozambique in the eastern part and Matabeleland South province is to the southern part, Midlands province is to the north and west part, whereas, Manicaland province to the north-east part [                       ].	Matabeleland South	-21.052337	29.0459927	Matabeleland South Province, Zimbabwe	APPROXIMATE
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Midlands	True	The province shares boundary with Mozambique in the eastern part and Matabeleland South province is to the southern part, Midlands province is to the north and west part, whereas, Manicaland province to the north-east part [                       ].	Midlands	52.3449256	-1.9718103	Midlands, UK	APPROXIMATE
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Manicaland	True	The province shares boundary with Mozambique in the eastern part and Matabeleland South province is to the southern part, Midlands province is to the north and west part, whereas, Manicaland province to the north-east part [                       ].	Manicaland	-18.9216386	32.174605	Manicaland Province, Zimbabwe	APPROXIMATE
